Drug,Advice
Eslicarbazepine,Continue
Esomeprazole,Continue
Etanercept,Omit if due week prior to surgery. Do not re-start until wound clean
Ethinylestradiol,Discuss with endocrine team. High doses may need to be stopped or continued at a lower dose.
Ethosuximide,Continue 
Etidronate,Omit on day of procedure
Etodolac,Continue
Etoricoxib,Continue
Exemestane,Continue 
Ezetimbe,Continue
Famotidine,Continue
Fampridine,Continue – but alert anaesthetist (use for MS)
Feboxustat,Continue
Felodipine,Continue
Fenofibrate,Continue
Fentanyl patch,Continue – but alert anaesthetist it’s in situ
Ferrous fumarate,Continue
Ferrous gluconate,Continue
Ferrous sulphate,Continue
Fexofenadine,Continue
Finasteride,Continue
Flavoxate,Continue.  May be omitted if patient catheterised
Flecanide,Continue
Fluazepam,Continue
Fludrocortisone (steroid),"Continue. But consider dose increase if long duration or high
dose; see Trust Guideline."
Fluoxetine,Continue – but caution with pethidine use
Flupentixol,Continue – but caution with pethidine use
Flutamide,Continue
Fluvastatin,Continue
Fluvoxamine,Continue – but caution with pethidine use
Folic acid,Continue
Fosinopril,Continue
Furosemide,Continue
Gabapentin,Continue 
Gaviscon,Continue
Gemfibrozil,Continue
Glibenclamide,Follow Diabetes and surgery guideline. 
Glimepiride,"Follow Diabetes and surgery guideline. Usually omitted
morning of surgery. "
Glucosamine,Stop 2 weeks pre-op if mixed with chondroitin
HRT (Hormone Replacement Therapy),"Advise to omit 4 weeks prior to any elective surgery but warn of possible menopausal like side effects of withdrawal, which may be considerable. Offer leaflet. Ensure adequate thromboprophylaxis if continued. If concerns, discuss with gynaecology. Advise to omit 4 weeks prior to any elective surgery but warn of possible menopausal like side effects of withdrawal, which may be considerable. Offer leaflet. Ensure adequate thrombi prophylaxis if continued. If concerns, discuss with gynaecology."
Hydromorphone,Continue
Hydralazine,Continue
Hydrocortisone (steroid),"Continue. But consider dose increase if long duration or high
dose; see Trust Guideline"
Hydroxychloroquine,Continue
Hydroxyzine,Continue 
Ibandronate,"Continue, but may be safely omitted if due day of procedure"
Ibuprofen,Continue
Imidapril,Continue 
Indapamide,Continue
Indometacin,Continue
Indoramin,"Continue if for BP control.
If for urinary symptoms, could be withheld if pt catheterised "
Insulins,"Follow Diabetes and surgery guideline. Guidance is procedure
and product dependant."
Irbesartan,Continue
Isocarboxazid (MAOI),"Seek both anaesthetic and psychiatric input!
If withdrawal necessary; do so slowly, well in advance to allow a
2 week drug free period."
Isosorbide dinitrate,Continue
Isosorbide mononitrate,Continue
Ispaghula husk,Continue – May omit if laxative action undesirable
Isradipine,Continue
Ivabradine,Continue
Ivacaftor,Continue
Ketoprofen,Continue
Labetalol,Continue
Lacidipine,Continue
Lacosamide,Continue
Lactulose,Continue – May omit if laxative action undesirable
Lamotrigine,Continue
Lansoprazole,Continue
Leflunomide,Continue 
Lercanidipine,Continue
Letrozole,Continue
Levetiracetam,Continue
Levocetirizine,Continue
Levomepromazine,Continue
Levothyroxine,Continue
Liothyronine,Continue
Linaclotide,Continue – May omit if laxative action undesirable
Linagliptin,"Follow Diabetes and surgery guideline. Usually omitted morning
of surgery. "
Lisdexamfetamine,Continue – but alert anaesthetist
Lisinopril,Continue
Lithium,"Continue –  but alert anaesthetist and monitor electrolytes and
fluid balance closely "
Lofepramine,"Continue – but caution with pethidine use. Also increased risk of
arrhythmia’s and hypotension"
Loperamide,Continue
Loprazolam,Continue
Loratidine,Continue
Lorazepam,Continue
Lormetazepam,Continue
Losartan,Continue
Magnesium triscilicate,Continue
Maxepa,Continue
Mebeverine,Continue
Mefenamic acid,Continue
Meloxicam,Continue 
Meprobamate,Continue
Meptazinol,Continue
Mercaptopurine,Continue 
Metformin,"Follow Diabetes and surgery guideline. Usually omitted morning
of surgery."
Methadone,Continue.  Alert anaesthetist. Avoid buprenorphine.
Methotrexate,Continue
Methylcellulose,Continue – May omit if laxative action undesirable
Methyldopa,Continue
"Methylprednisolone
(steroid)","Continue. But consider dose increase if long duration or high
dose; see Trust Guideline"
Metoclopramide,Continue
Metolazone,Continue
Metoprolol,Continue
Metyrapone,Discuss with anaesthetist
Minoxidil,Continue
Mirabegron,Continue.  May be omitted if pt catheterised
Mirtazepine,Continue – but caution with pethidine use
Misoprostol,Continue
Moclobemide,Omit 12 hours pre-op
Modafinil,Continue
Montelukast,Continue
Morphine,Continue
Movicol,Continue – May omit if laxative action undesirable
Moxonidine,Continue
Mycophenolate,Continue
Nabumetone,Continue
Nadolol,Continue
Naftidrofuryl oxalate,Continue
Nalmefene,Continue – but alert anaesthetist
Naproxen,Continue 
Nebivolol,Continue
Neostigmine,Discuss with anaesthetist
Nicardipine,Continue
Nicorandil,Continue
Nicotinic acid,Continue
Nifedipine,Continue
Nimodipine,Continue
Nitrazepam,Continue
Nizatidine,Continue 
Olanzapine,Continue
Olmesartan,Continue
Olsalazine,"Continue – but may not be indicated post-op if procedure is to
remove diseased bowel."
Omacor,Continue
Omeprazole,Continue
Oral contraceptive: combined oestrogens and progesterones,"Advise to omit 4 weeks prior to any elective surgery & offer advice regarding alternative methods. Issue leaflet if continuing, document decision and ensure adequate thromboprophylaxis"
"Oral contraceptive:
progesterone only",Continue
Orlistat,Omit once nil by mouth
Oxcarbazepine,Continue
Oxprenolol,Continue
Oxybutynin,Continue. May be omitted if pt catheterised
Oxycodone,Continue
Pancreatic enzymes (Creon),Continue
Pantoprazole,Continue
Paroxetine,Continue – but caution with pethidine use
Penicillamine,Continue
Pentoxifyline,Continue
Peppermint oil,Continue
Peptac,Continue
Pergolide,Continue
Perampanel,Continue
Perindopril,Continue
Pethidine,Omit day of procedure  (increases seizure risk) Seek both anaesthetic and psychiatric input
Phenelzine (MAOI),"If withdrawal necessary; do so slowly, well in advance to allow a 2 week drug free period."
Phenindione,Treat as for Warfarin See Anticoagulation policy and Appendix 4
Phenobarbital,Continue
Phentolamine,Seek anaesthetist advice
Phenytoin,Continue
Pindolol,Continue
Pioglitazone,Follow Diabetes and surgery guideline. Usually omitted morning of surgery.
Piracetam,Continue – but alert anaesthetist
Pirfenidone,Continue
Piroxicam,Continue
Pizotifen,Continue
Pramipexole,Continue
Prasugrel,See Algorithm.  Discuss with surgical/cardiology teams
Pravastatin,Continue
Prazosin,"Continue if for BP control. If for urinary symptoms, could be withheld if patient is catheterised"
Prednisolone (steroid),Continue. But consider dose increase if long duration or high dose
Pregabalin,Continue
Prestylon,Continue
Primidone,Continue
Propafenone,Continue
Propantheline,Continue. May be omitted if pt catheterised
Propiverine,Continue. May be omitted if pt catheterised
Propranolol,Continue
Propylthiouracil,Continue
Prucalopride,Continue – May omit if laxative action undesirable
Pyridostigmine,Discuss with anaesthetist
Quetiapine,Continue
Quinapril,Continue
Quinine,Continue
Rabeprazole,Continue
Raloxifene,Continue
Ramipril,Continue
Ranitidine,Continue
Rasagiline,Continue – but avoid pethidine
Reboxetine,Continue – but caution with pethidine use
Repaglinide,"Follow Diabetes and surgery guideline. Usually omitted morning
of surgery."
Retigabine,Continue
Rifaximin,Continue
Riluzole,Continue – but alert anaesthetist
Risedronate,"Continue, but may be safely omitted if due day of procedure"
Risperidone,Continue
Rivaroxaban,Omit 48 hours pre-op 
Ropinirole,Continue 
Rosuvastatin,Continue
Rotigotine,Continue
Rufinamide,Continue
Rupatadine,Continue
Saxagliptin,"Follow Diabetes and surgery guideline. Usually omitted
morning of surgery."
Selegiline,Continue – but avoid pethidine
Senna,Continue – May omit if laxative action undesirable
Sertindole,Continue
Sertraline,Continue – but caution with pethidine use
Sevelamer,Omit once patient NBM
Sibutramine,Continue
Simvastatin,Continue
Sirolimus,Continue 
Sodium Valproate,Continue
Solifenacin,Continue. May be omitted if pt catheterised
Sotalol,Continue
Spironolactone,Continue
Strontium,"Continue, but may be safely omitted if due day of procedure "
Sulindac,Continue
Sulpiride,Continue
Tacrolimus,Continue
Tafamidis,Continue – but alert anaesthetist
Tamoxifen,Continue
Tamsulosin,Continue
Tapentadol,Omit day of procedure (increases seizure risk)
Telaprevir,Continue
Telmisartan,Continue
Temazepam,Continue
Tenoxicam,Continue
Terazosin,"Continue if for BP control. If for urinary symptoms, could be withheld if pt catheterised"
Tetrabenazine,Continue – but alert anaesthetist
Thalidomide,Seek haematologist advice
Theophylline,Continue – consider checking level pre-op if pt risk of arrhythmias
Tibolone,Continue
Ticagrelor,See Algorithm. Discuss with surgical/cardiology teams
Tigabine,Continue
Timolol,Continue
Tolbutamide,Follow Diabetes and surgery guideline. Usually omitted morning of surgery.
Tolcapone,Continue
Tolterodine,Continue.  May be omitted if pt catheterised
Tolvaptan,Continue
Topiramate,Continue
Toremifene,Continue
Tramadol,Continue where appropriate Seek both anaesthetic and psychiatric input!
Tranylcypromine (MAOI),"If withdrawal necessary; do so slowly, well in advance to allow a 2 week drug free period."
Trandolapril,Continue
Tranexamic acid,Continue
Trazodone,Continue – but caution with pethidine use. Also increased risk of arrhythmia’s and hypotension
Triamterene,Continue
Trifluoperazine,Continue
Trihexyphenidyl,Continue
Trilostane,Discuss with anaesthetist
Trimipramine,Continue – but caution with pethidine use. Also increased risk of arrhythmia’s and hypotension
Trospium,Continue. May be omitted if patient is catheterised
Ulipristal,Continue –may not be needed post op if removing uterine fibroids
Ursodeoxycholic acid,Continue
Valproic acid,Continue
Valsartan,Continue
Varenicline,Continue
Venlafaxine,Continue – but avoid pethidine use 
Verapamil,Continue
Vigabatrin,Continue
Vildagliptin,"Follow Diabetes and surgery guideline. Usually omitted morning
of surgery."
Warfarin,See Anticoagulation policy
Zafirlukast,Continue
Zolendronate,"Continue, but may be safely omitted if due day of procedure"
Zolpidem,Continue
Zopiclone,Continue
Zotepine,Continue
